env_name,source
DATABASE_DATABASE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_HOST,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_PASSWORD,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_DATABASE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_HOST,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_PASSWORD,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_PORT,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_SSLMODE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_POSITION_COMPLETE_USERNAME,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_SSLMODE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_DATABASE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_HOST,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_PASSWORD,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_PORT,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_SSLMODE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_IN_USERNAME,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_DATABASE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_HOST,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_PASSWORD,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_PORT,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_SSLMODE,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_TRADING_OUT_USERNAME,inline-secret-ref:mt5-deals-in-cleaner-secret
DATABASE_USERNAME,inline-secret-ref:mt5-deals-in-cleaner-secret
KAFKA_BROKERS,inline-secret-ref:kafka-stream-brokers
POD_NAME,inline-literal
STAGE,inline-cm-ref:mt5-deals-in-cleaner-config
