env_name,source
DATABASE_DATABASE,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_HOST,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_PASSWORD,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_SSLMODE,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_TRADING_IN_DATABASE,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_TRADING_IN_HOST,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_TRADING_IN_PASSWORD,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_TRADING_IN_PORT,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_TRADING_IN_USERNAME,inline-secret-ref:mt5-deals-in-ingestor-secret
DATABASE_USERNAME,inline-secret-ref:mt5-deals-in-ingestor-secret
KAFKA_BROKERS,inline-secret-ref:kafka-stream-brokers
POD_NAME,inline-literal
STAGE,inline-cm-ref:mt5-deals-in-ingestor-config
