env_name,source
DATABASE_DATABASE,inline-secret-ref:position-completion-detector-secret
DATABASE_HOST,inline-secret-ref:position-completion-detector-secret
DATABASE_PASSWORD,inline-secret-ref:position-completion-detector-secret
DATABASE_POSITION_COMPLETE_DATABASE,inline-secret-ref:position-completion-detector-secret
DATABASE_POSITION_COMPLETE_HOST,inline-secret-ref:position-completion-detector-secret
DATABASE_POSITION_COMPLETE_PASSWORD,inline-secret-ref:position-completion-detector-secret
DATABASE_POSITION_COMPLETE_PORT,inline-secret-ref:position-completion-detector-secret
DATABASE_POSITION_COMPLETE_USERNAME,inline-secret-ref:position-completion-detector-secret
DATABASE_SSLMODE,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_IN_DATABASE,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_IN_HOST,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_IN_PASSWORD,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_IN_PORT,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_IN_USERNAME,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_OUT_DATABASE,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_OUT_HOST,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_OUT_PASSWORD,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_OUT_PORT,inline-secret-ref:position-completion-detector-secret
DATABASE_TRADING_OUT_USERNAME,inline-secret-ref:position-completion-detector-secret
DATABASE_USERNAME,inline-secret-ref:position-completion-detector-secret
KAFKA_BROKERS,inline-secret-ref:kafka-stream-brokers
POD_NAME,inline-literal
STAGE,inline-cm-ref:position-completion-detector-config
