env_name,source
CLICKHOUSE_DATABASE,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_ENABLE,inline-cm-ref:rebate-watcher-config
CLICKHOUSE_HOST,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_IB_DATABASE,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_IB_HOST,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_IB_PASSWORD,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_IB_USERNAME,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_PASSWORD,inline-secret-ref:rebate-watcher-secret
CLICKHOUSE_USERNAME,inline-secret-ref:rebate-watcher-secret
DATABASE_DATABASE,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_DATABASE,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_HOST,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_PASSWORD,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_PORT,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_SSLMODE,inline-secret-ref:rebate-watcher-secret
DATABASE_FINANCIAL_REPLICA_USERNAME,inline-secret-ref:rebate-watcher-secret
DATABASE_HOST,inline-secret-ref:rebate-watcher-secret
DATABASE_PASSWORD,inline-secret-ref:rebate-watcher-secret
DATABASE_SSLMODE,inline-secret-ref:rebate-watcher-secret
DATABASE_USERNAME,inline-secret-ref:rebate-watcher-secret
KAFKA_BROKERS,inline-secret-ref:kafka-stream-brokers
METRICS_PORT,inline-cm-ref:rebate-watcher-config
POD_NAME,inline-literal
STAGE,inline-cm-ref:rebate-watcher-config
