column_name,go_field,enum_value,go_const,enum_group,source_struct
mt5_sync_status,Mt5SyncStatus,FAILED,Mt5SyncStatusFailed,Mt5SyncStatus,Transaction
mt5_sync_status,Mt5SyncStatus,PENDING,Mt5SyncStatusPending,Mt5SyncStatus,Transaction
mt5_sync_status,Mt5SyncStatus,RETRYING,Mt5SyncStatusRetrying,Mt5SyncStatus,Transaction
mt5_sync_status,Mt5SyncStatus,SYNC,Mt5SyncStatusSync,Mt5SyncStatus,Transaction
mt5_sync_status,Mt5SyncStatus,UNKNOWN,Mt5SyncStatusUnknown,Mt5SyncStatus,Transaction
status,Status,APPROVED,TransactionStatusApproved,TransactionStatus,Transaction
status,Status,CANCELLED,TransactionStatusCancelled,TransactionStatus,Transaction
status,Status,COMPLETED,TransactionStatusCompleted,TransactionStatus,Transaction
status,Status,EXPIRED,TransactionStatusExpired,TransactionStatus,Transaction
status,Status,FAILED,TransactionStatusFailed,TransactionStatus,Transaction
status,Status,PENDING,TransactionStatusPending,TransactionStatus,Transaction
status,Status,PROCESSING,TransactionStatusProcessing,TransactionStatus,Transaction
status,Status,REFUNDED,TransactionStatusRefunded,TransactionStatus,Transaction
status,Status,REJECTED,TransactionStatusRejected,TransactionStatus,Transaction
