ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,parent_id,uuid,True,,False,False,True,public.modules.id,
3,code,character varying(100),False,,False,True,False,,
4,name,character varying(200),False,,False,False,False,,
5,description,text,True,,False,False,False,,
6,portal_type,character varying(20),False,,False,False,False,,
7,icon,character varying(100),True,,False,False,False,,
8,route,character varying(255),True,,False,False,False,,
9,seq,integer,False,0,False,False,False,,
10,is_active,boolean,False,true,False,False,False,,
11,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
12,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
