ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,account_id,uuid,False,,False,False,True,public.mt5_accounts.id,
4,order_id,bigint,True,,False,False,False,,
5,expert_id,bigint,True,,False,False,False,,
6,position_id,bigint,True,,False,False,False,,
7,external_id,integer,True,,False,False,False,,
8,deal,bigint,False,,False,True,False,,
9,login,bigint,False,,False,False,False,,
10,action,character varying(50),True,,False,False,False,,
11,entry,character varying(50),True,,False,False,False,,
12,reason,character varying(50),True,,False,False,False,,
13,digits,smallint,True,,False,False,False,,
14,digits_currency,smallint,True,,False,False,False,,
15,contract_size,integer,True,,False,False,False,,
16,time,bigint,True,,False,False,False,,
17,time_msc,bigint,True,,False,False,False,,
18,symbol,character varying(100),True,,False,False,False,,
19,price,"numeric(18,6)",True,,False,False,False,,
20,volume,integer,True,,False,False,False,,
21,volume_ext,bigint,True,,False,False,False,,
22,profit,"numeric(18,2)",True,,False,False,False,,
23,storage,"numeric(18,2)",True,,False,False,False,,
24,commission,"numeric(18,2)",True,,False,False,False,,
25,fee,"numeric(18,2)",True,,False,False,False,,
26,rate_profit,"numeric(18,8)",True,,False,False,False,,
27,rate_margin,"numeric(18,8)",True,,False,False,False,,
28,profit_raw,"numeric(18,2)",True,,False,False,False,,
29,comment,text,True,,False,False,False,,
30,dealer,integer,True,,False,False,False,,
31,price_position,"numeric(18,6)",True,,False,False,False,,
32,price_sl,"numeric(18,6)",True,,False,False,False,,
33,price_tp,"numeric(18,6)",True,,False,False,False,,
34,price_gateway,character varying(50),True,,False,False,False,,
35,volume_closed,"numeric(18,6)",True,,False,False,False,,
36,volume_closed_ext,integer,True,,False,False,False,,
37,volume_gateway_ext,bigint,True,,False,False,False,,
38,tick_value,"numeric(18,8)",True,,False,False,False,,
39,tick_size,"numeric(18,8)",True,,False,False,False,,
40,market_bid,"numeric(18,6)",True,,False,False,False,,
41,market_ask,"numeric(18,6)",True,,False,False,False,,
42,market_last,"numeric(18,6)",True,,False,False,False,,
43,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
44,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
45,created_by,uuid,True,,False,False,True,public.users.id,
46,updated_by,uuid,True,,False,False,True,public.users.id,
