ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,deal,bigint,False,,False,True,False,,
3,login,bigint,False,,False,False,False,,
4,user_id,uuid,True,,False,False,True,public.users.id,
5,account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
6,symbol,character varying(100),True,,False,False,False,,
7,action,character varying(50),True,,False,False,False,,
8,volume,integer,True,,False,False,False,,
9,volume_ext,bigint,True,,False,False,False,,
10,lots,"numeric(18,4)",True,,False,False,False,,
11,is_cent,boolean,False,false,False,False,False,,
12,profit,"numeric(18,2)",True,,False,False,False,,
13,commission,"numeric(18,2)",True,,False,False,False,,
14,fee,"numeric(18,2)",True,,False,False,False,,
15,storage,"numeric(18,2)",True,,False,False,False,,
16,contract_size,integer,True,,False,False,False,,
17,digits,smallint,True,,False,False,False,,
18,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
19,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
