ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,group_name,character varying(128),False,,False,True,False,,
3,title,character varying(128),False,,False,False,False,,
4,server,integer,True,,False,False,False,,
5,permissions_flags,integer,True,,False,False,False,,
6,auth_mode,integer,True,,False,False,False,,
7,auth_password_min,integer,True,,False,False,False,,
8,auth_otp_mode,integer,True,,False,False,False,,
9,company,character varying(256),True,,False,False,False,,
10,company_page,character varying(256),True,,False,False,False,,
11,company_email,character varying(256),True,,False,False,False,,
12,company_support_page,character varying(512),True,,False,False,False,,
13,company_support_email,character varying(256),True,,False,False,False,,
14,company_catalog,character varying(256),True,,False,False,False,,
15,company_deposit_url,character varying(512),True,,False,False,False,,
16,company_withdrawal_url,character varying(512),True,,False,False,False,,
17,currency,character varying(16),True,,False,False,False,,
18,currency_digits,smallint,True,,False,False,False,,
19,reports_mode,integer,True,,False,False,False,,
20,reports_flags,integer,True,,False,False,False,,
21,reports_email,character varying(256),True,,False,False,False,,
22,news_mode,integer,True,,False,False,False,,
23,news_category,character varying(128),True,,False,False,False,,
24,mail_mode,integer,True,,False,False,False,,
25,trade_flags,integer,True,,False,False,False,,
26,trade_transfer_mode,integer,True,,False,False,False,,
27,trade_interestrate,"numeric(18,2)",True,,False,False,False,,
28,trade_virtual_credit,"numeric(18,2)",True,,False,False,False,,
29,margin_mode,integer,True,,False,False,False,,
30,margin_flags,integer,True,,False,False,False,,
31,margin_so_mode,integer,True,,False,False,False,,
32,margin_free_mode,integer,True,,False,False,False,,
33,margin_call,"numeric(18,2)",True,,False,False,False,,
34,margin_stopout,"numeric(18,2)",True,,False,False,False,,
35,margin_free_profit_mode,integer,True,,False,False,False,,
36,margin_leverage_profile,character varying(128),True,,False,False,False,,
37,demo_leverage,integer,True,,False,False,False,,
38,demo_deposit,"numeric(18,2)",True,,False,False,False,,
39,demo_trades_clean,integer,True,,False,False,False,,
40,limit_history,integer,True,,False,False,False,,
41,limit_orders,integer,True,,False,False,False,,
42,limit_symbols,integer,True,,False,False,False,,
43,limit_positions,integer,True,,False,False,False,,
44,limit_positions_volume,"numeric(18,2)",True,,False,False,False,,
45,commissions,jsonb,True,,False,False,False,,
46,symbols_config,jsonb,True,,False,False,False,,
47,news_langs,jsonb,True,,False,False,False,,
48,synced_at,timestamp with time zone,False,now(),False,False,False,,
49,updated_at,timestamp with time zone,False,now(),False,False,False,,
53,is_cent,boolean,False,false,False,False,False,,
