ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,mt5_position_complete_id,uuid,True,,False,False,True,public.mt5_position_completes.id,
3,position_id,bigint,False,,False,False,False,,
4,deal,bigint,False,,False,True,False,,
5,login,bigint,False,,False,False,False,,
6,user_id,uuid,True,,False,False,True,public.users.id,
7,account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
8,order_id,bigint,True,,False,False,False,,
9,expert_id,bigint,True,,False,False,False,,
10,external_id,integer,True,,False,False,False,,
11,symbol,character varying(100),True,,False,False,False,,
12,action,character varying(50),True,,False,False,False,,
13,entry,character varying(50),True,,False,False,False,,
14,reason,character varying(50),True,,False,False,False,,
15,digits,smallint,True,,False,False,False,,
16,digits_currency,smallint,True,,False,False,False,,
17,contract_size,integer,True,,False,False,False,,
18,price,"numeric(18,6)",True,,False,False,False,,
19,time,bigint,True,,False,False,False,,
20,time_msc,bigint,True,,False,False,False,,
21,volume,integer,True,,False,False,False,,
22,volume_ext,bigint,True,,False,False,False,,
23,lots,"numeric(18,4)",True,,False,False,False,,
24,is_cent,boolean,False,false,False,False,False,,
25,volume_closed,"numeric(18,6)",True,,False,False,False,,
26,volume_closed_ext,integer,True,,False,False,False,,
27,volume_gateway_ext,bigint,True,,False,False,False,,
28,profit,"numeric(18,2)",True,,False,False,False,,
29,storage,"numeric(18,2)",True,,False,False,False,,
30,commission,"numeric(18,2)",True,,False,False,False,,
31,fee,"numeric(18,2)",True,,False,False,False,,
32,profit_raw,"numeric(18,2)",True,,False,False,False,,
33,rate_profit,"numeric(18,8)",True,,False,False,False,,
34,rate_margin,"numeric(18,8)",True,,False,False,False,,
35,tick_value,"numeric(18,8)",True,,False,False,False,,
36,tick_size,"numeric(18,8)",True,,False,False,False,,
37,value,"numeric(18,8)",True,,False,False,False,,
38,price_position,"numeric(18,6)",True,,False,False,False,,
39,price_sl,"numeric(18,6)",True,,False,False,False,,
40,price_tp,"numeric(18,6)",True,,False,False,False,,
41,price_gateway,character varying(50),True,,False,False,False,,
42,market_bid,"numeric(18,6)",True,,False,False,False,,
43,market_ask,"numeric(18,6)",True,,False,False,False,,
44,market_last,"numeric(18,6)",True,,False,False,False,,
45,dealer,integer,True,,False,False,False,,
46,party_id,bigint,True,,False,False,False,,
47,comment,text,True,,False,False,False,,
48,flags,character varying(255),True,,False,False,False,,
49,modify_flags,character varying(255),True,,False,False,False,,
50,gateway,character varying(255),True,,False,False,False,,
51,action_gateway,character varying(255),True,,False,False,False,,
52,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
53,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
