ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,code,character varying(100),False,,False,True,False,,
3,name,character varying(200),False,,False,False,False,,
4,description,text,True,,False,False,False,,
5,resource,character varying(100),False,,False,False,False,,
6,action,character varying(50),False,,False,False,False,,
7,category,character varying(50),True,,False,False,False,,
10,seq,integer,False,0,False,False,False,,
11,is_active,boolean,False,true,False,False,False,,
12,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
13,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
14,created_by,uuid,True,,False,False,True,public.users.id,
15,updated_by,uuid,True,,False,False,True,public.users.id,
16,module_id,uuid,True,,False,False,True,public.modules.id,
