ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,code,character varying(50),False,,False,True,False,,
3,name,character varying(255),False,,False,False,False,,
5,payment_currency,character varying(10),False,'THB'::character varying,False,False,False,,
6,is_active,boolean,False,true,False,False,False,,
7,metadata,jsonb,True,,False,False,False,,
8,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
9,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
10,created_by,uuid,True,,False,False,False,,
11,updated_by,uuid,True,,False,False,False,,
12,deactivated_at,timestamp with time zone,True,,False,False,False,,
13,deactivated_by,uuid,True,,False,False,False,,
14,deactivation_reason,text,True,,False,False,False,,
