ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,platform,character varying(20),False,'MT5'::character varying,False,False,False,,
3,mt5_account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
4,trade_reference,character varying(64),False,,False,False,False,,
5,wallet_id,uuid,False,,False,False,True,public.wallets.id,
6,user_id,uuid,False,,False,False,True,public.users.id,
7,deal_id,bigint,False,,False,False,False,,
8,position_id,bigint,True,,False,False,False,,
9,symbol,character varying(50),False,,False,False,False,,
10,lots,"numeric(20,6)",False,,False,False,False,,
11,amount,"numeric(20,6)",False,,False,False,False,,
12,rebate_line_id,uuid,True,,False,False,True,public.rebate_lines.id,
13,rebate_scheme_id,uuid,True,,False,False,True,public.rebate_schemes.id,
14,level_order,integer,True,,False,False,False,,
15,level_label,character varying(50),True,,False,False,False,,
16,rate_value,"numeric(20,6)",True,,False,False,False,,
17,calculation_type,character varying(50),True,,False,False,False,,
18,created_at,timestamp with time zone,False,now(),False,False,False,,
19,created_by,uuid,True,,False,False,False,,
