ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,transaction_id,character varying(100),False,,False,False,False,,
3,rebate_line_id,uuid,False,,False,False,True,public.rebate_lines.id,
4,rebate_scheme_id,uuid,False,,False,False,True,public.rebate_schemes.id,
5,beneficiary_user_id,uuid,False,,False,False,True,public.users.id,
6,beneficiary_wallet_id,uuid,False,,False,False,True,public.wallets.id,
7,executor_user_id,uuid,False,,False,False,True,public.users.id,
8,mt5_account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
9,original_entry_id,uuid,True,,False,False,True,public.rebate_ledger.id,
10,entry_code,character varying(50),False,,False,True,False,,
11,transaction_type,character varying(30),False,,False,False,False,,
12,beneficiary_level,character varying(20),False,,False,False,False,,
13,mt5_ticket,bigint,True,,False,False,False,,
14,symbol,character varying(50),True,,False,False,False,,
15,lots,"numeric(10,4)",True,,False,False,False,,
16,rate_value,"numeric(10,6)",True,,False,False,False,,
17,amount,"numeric(20,6)",False,,False,False,False,,
18,balance_after,"numeric(20,6)",False,,False,False,False,,
19,remark,text,True,,False,False,False,,
20,created_at,timestamp with time zone,False,now(),False,False,False,,
21,created_by,uuid,True,,False,False,True,public.users.id,
22,calculation_type,character varying(50),False,'FIX_LOT'::character varying,False,False,False,,
23,calculation_input,jsonb,True,,False,False,False,,
