ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,business_unit_id,uuid,True,,False,False,True,public.business_units.id,
3,code,character varying(50),False,,False,True,False,,
4,name,character varying(100),False,,False,True,False,,
5,description,text,True,,False,False,False,,
6,is_active,boolean,False,true,False,False,False,,
7,is_default,boolean,False,false,False,False,False,,
8,role_type,character varying(20),False,'CLIENT'::character varying,False,False,False,,
9,role_level,integer,False,0,False,False,False,,
10,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
11,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
12,created_by,uuid,True,,False,False,True,public.users.id,
13,updated_by,uuid,True,,False,False,True,public.users.id,
