ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,batch_id,uuid,True,,False,False,True,public.mt5_sync_batches.id,
3,status,character varying(20),False,'PENDING'::character varying,False,False,False,,
4,error_message,text,True,,False,False,False,,
5,login,character varying(20),False,,False,False,False,,
6,currency_digits,character varying(10),True,,False,False,False,,
7,balance,character varying(50),True,,False,False,False,,
8,credit,character varying(50),True,,False,False,False,,
9,margin,character varying(50),True,,False,False,False,,
10,margin_free,character varying(50),True,,False,False,False,,
11,margin_level,character varying(50),True,,False,False,False,,
12,margin_leverage,character varying(20),True,,False,False,False,,
13,margin_initial,character varying(50),True,,False,False,False,,
14,margin_maintenance,character varying(50),True,,False,False,False,,
15,profit,character varying(50),True,,False,False,False,,
16,storage,character varying(50),True,,False,False,False,,
17,floating,character varying(50),True,,False,False,False,,
18,equity,character varying(50),True,,False,False,False,,
19,assets,character varying(50),True,,False,False,False,,
20,liabilities,character varying(50),True,,False,False,False,,
21,blocked_commission,character varying(50),True,,False,False,False,,
22,blocked_profit,character varying(50),True,,False,False,False,,
23,so_activation,character varying(10),True,,False,False,False,,
24,so_time,character varying(20),True,,False,False,False,,
25,so_level,character varying(50),True,,False,False,False,,
26,so_equity,character varying(50),True,,False,False,False,,
27,so_margin,character varying(50),True,,False,False,False,,
28,created_at,timestamp with time zone,False,now(),False,False,False,,
29,processed_at,timestamp with time zone,True,,False,False,False,,
