ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,batch_id,uuid,True,,False,False,True,public.mt5_sync_batches.id,
3,order_id,character varying(20),True,,False,False,False,,
4,expert_id,character varying(20),True,,False,False,False,,
5,position_id,character varying(20),True,,False,False,False,,
6,party_id,character varying(20),True,,False,False,False,,
7,external_id,character varying(64),True,,False,False,False,,
8,status,character varying(20),False,'PENDING'::character varying,False,False,False,,
9,error_message,text,True,,False,False,False,,
10,deal,character varying(20),False,,False,False,False,,
11,login,character varying(20),False,,False,False,False,,
12,action,character varying(50),True,,False,False,False,,
13,entry,character varying(50),True,,False,False,False,,
14,reason,character varying(50),True,,False,False,False,,
15,digits,character varying(10),True,,False,False,False,,
16,digits_currency,character varying(10),True,,False,False,False,,
17,contract_size,character varying(50),True,,False,False,False,,
18,time,character varying(20),True,,False,False,False,,
19,time_msc,character varying(20),True,,False,False,False,,
20,symbol,character varying(64),True,,False,False,False,,
21,price,character varying(50),True,,False,False,False,,
22,volume,character varying(20),True,,False,False,False,,
23,volume_ext,character varying(20),True,,False,False,False,,
24,profit,character varying(50),True,,False,False,False,,
25,storage,character varying(50),True,,False,False,False,,
26,commission,character varying(50),True,,False,False,False,,
27,fee,character varying(50),True,,False,False,False,,
28,rate_profit,character varying(50),True,,False,False,False,,
29,rate_margin,character varying(50),True,,False,False,False,,
30,profit_raw,character varying(50),True,,False,False,False,,
31,comment,character varying(512),True,,False,False,False,,
32,dealer,character varying(20),True,,False,False,False,,
33,price_position,character varying(50),True,,False,False,False,,
34,price_sl,character varying(50),True,,False,False,False,,
35,price_tp,character varying(50),True,,False,False,False,,
36,price_gateway,character varying(50),True,,False,False,False,,
37,volume_closed,character varying(20),True,,False,False,False,,
38,volume_closed_ext,character varying(20),True,,False,False,False,,
39,volume_gateway_ext,character varying(20),True,,False,False,False,,
40,tick_value,character varying(50),True,,False,False,False,,
41,tick_size,character varying(50),True,,False,False,False,,
42,flags,character varying(10),True,,False,False,False,,
43,modify_flags,character varying(50),True,,False,False,False,,
44,gateway,character varying(128),True,,False,False,False,,
45,action_gateway,character varying(10),True,,False,False,False,,
46,value,character varying(50),True,,False,False,False,,
47,market_bid,character varying(50),True,,False,False,False,,
48,market_ask,character varying(50),True,,False,False,False,,
49,market_last,character varying(50),True,,False,False,False,,
50,created_at,timestamp with time zone,False,now(),False,False,False,,
51,processed_at,timestamp with time zone,True,,False,False,False,,
