ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,batch_id,uuid,True,,False,False,True,public.mt5_sync_batches.id,
3,expert_id,character varying(20),True,,False,False,False,,
4,expert_position_id,character varying(20),True,,False,False,False,,
5,external_id,character varying(64),True,,False,False,False,,
6,status,character varying(20),False,'PENDING'::character varying,False,False,False,,
7,error_message,text,True,,False,False,False,,
8,position,character varying(20),False,,False,False,False,,
9,login,character varying(20),False,,False,False,False,,
10,action,character varying(50),True,,False,False,False,,
11,digits,character varying(10),True,,False,False,False,,
12,digits_currency,character varying(10),True,,False,False,False,,
13,reason,character varying(50),True,,False,False,False,,
14,contract_size,character varying(50),True,,False,False,False,,
15,time_create,character varying(20),True,,False,False,False,,
16,time_update,character varying(20),True,,False,False,False,,
17,time_create_msc,character varying(20),True,,False,False,False,,
18,time_update_msc,character varying(20),True,,False,False,False,,
19,modify_flags,character varying(50),True,,False,False,False,,
20,price_open,character varying(50),True,,False,False,False,,
21,price_current,character varying(50),True,,False,False,False,,
22,price_sl,character varying(50),True,,False,False,False,,
23,price_tp,character varying(50),True,,False,False,False,,
24,volume,character varying(20),True,,False,False,False,,
25,volume_ext,character varying(20),True,,False,False,False,,
26,profit,character varying(50),True,,False,False,False,,
27,storage,character varying(50),True,,False,False,False,,
28,rate_profit,character varying(50),True,,False,False,False,,
29,rate_margin,character varying(50),True,,False,False,False,,
30,comment,character varying(512),True,,False,False,False,,
31,dealer,character varying(20),True,,False,False,False,,
32,symbol,character varying(64),True,,False,False,False,,
33,activation_mode,character varying(50),True,,False,False,False,,
34,activation_time,character varying(20),True,,False,False,False,,
35,activation_price,character varying(50),True,,False,False,False,,
36,activation_flags,character varying(50),True,,False,False,False,,
37,action_gateway,character varying(10),True,,False,False,False,,
38,price_gateway,character varying(50),True,,False,False,False,,
39,volume_gateway_ext,character varying(20),True,,False,False,False,,
40,created_at,timestamp with time zone,False,now(),False,False,False,,
41,processed_at,timestamp with time zone,True,,False,False,False,,
