ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,provider,character varying(50),False,,False,False,False,,
3,reference_id,uuid,True,,False,False,False,,
4,endpoint,character varying(255),False,,False,False,False,,
5,method,character varying(10),False,,False,False,False,,
6,request_payload,jsonb,True,,False,False,False,,
7,response_payload,jsonb,True,,False,False,False,,
8,status_code,integer,False,,False,False,False,,
9,error_message,text,True,,False,False,False,,
10,duration_ms,integer,False,,False,False,False,,
11,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
