ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,event_id,character varying(20),True,,False,False,False,,
3,user_id,uuid,False,,False,False,True,public.users.id,
4,source_wallet_id,uuid,True,,False,False,False,,
5,source_mt5_account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
6,destination_wallet_id,uuid,True,,False,False,False,,
7,destination_mt5_account_id,uuid,True,,False,False,True,public.mt5_accounts.id,
8,reference_id,character varying(100),True,,False,True,False,,
9,transaction_number,character varying(50),False,,False,True,False,,
10,type,character varying(30),False,,False,False,False,,
11,status,character varying(30),False,,False,False,False,,
12,source_account_type,character varying(20),True,,False,False,False,,
13,destination_account_type,character varying(20),True,,False,False,False,,
14,amount_usd,"numeric(20,6)",False,,False,False,False,,
15,initiated_by,uuid,True,,False,False,False,,
16,approved_by,uuid,True,,False,False,False,,
17,approval_required,boolean,True,false,False,False,False,,
18,notes,text,True,,False,False,False,,
19,expires_at,timestamp with time zone,True,,False,False,False,,
20,completed_at,timestamp with time zone,True,,False,False,False,,
21,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
22,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
23,created_by,uuid,True,,False,False,False,,
24,updated_by,uuid,True,,False,False,False,,
25,deactivated_at,timestamp with time zone,True,,False,False,False,,
26,deactivated_by,uuid,True,,False,False,False,,
27,deactivation_reason,text,True,,False,False,False,,
28,mt5_sync_status,character varying(20),True,,False,False,False,,
29,mt5_sync_time,timestamp with time zone,True,,False,False,False,,
30,mt5_sync_error,text,True,,False,False,False,,
31,mt5_ticket,bigint,True,,False,False,False,,
