ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,first_name,character varying(100),True,,False,False,False,,
4,last_name,character varying(100),True,,False,False,False,,
5,middle_name,character varying(100),True,,False,False,False,,
6,display_name,character varying(255),True,,False,False,False,,
7,date_of_birth,date,True,,False,False,False,,
8,gender,character varying(20),True,,False,False,False,,
9,phone_number,character varying(50),True,,False,False,False,,
10,phone_country_code,character varying(10),True,,False,False,False,,
11,phone_verified,boolean,True,false,False,False,False,,
12,alternative_email,character varying(255),True,,False,False,False,,
13,address_line1,character varying(255),True,,False,False,False,,
14,address_line2,character varying(255),True,,False,False,False,,
15,city,character varying(100),True,,False,False,False,,
16,state_province,character varying(100),True,,False,False,False,,
17,postal_code,character varying(20),True,,False,False,False,,
18,country_code,character(2),True,,False,False,False,,
19,timezone,character varying(50),True,'UTC'::character varying,False,False,False,,
20,language_code,character varying(10),True,'EN'::character varying,False,False,False,,
21,currency_code,character(3),True,'USD'::bpchar,False,False,False,,
22,date_format,character varying(20),True,'YYYY-MM-DD'::character varying,False,False,False,,
23,avatar_url,text,True,,False,False,False,,
24,bio,text,True,,False,False,False,,
25,website_url,character varying(255),True,,False,False,False,,
26,profile_completed_at,timestamp with time zone,True,,False,False,False,,
27,profile_completion_percentage,integer,True,0,False,False,False,,
28,nationality_code,character(2),True,,False,False,False,,
29,phone_verified_at,timestamp with time zone,True,,False,False,False,,
30,phone_verification_token,character varying(255),True,,False,False,False,,
31,investment_experience_level,character varying(50),True,,False,False,False,,
32,trading_experience_years,integer,True,,False,False,False,,
33,risk_tolerance,character varying(50),True,,False,False,False,,
34,financial_instruments_knowledge,text,True,,False,False,False,,
35,employment_status,character varying(50),True,,False,False,False,,
36,employer_name,character varying(255),True,,False,False,False,,
37,occupation,character varying(255),True,,False,False,False,,
38,industry,character varying(100),True,,False,False,False,,
39,annual_income_range,character varying(50),True,,False,False,False,,
40,source_of_funds,character varying(100),True,,False,False,False,,
41,net_worth_range,character varying(50),True,,False,False,False,,
42,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
43,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
44,employment_start_date,date,True,,False,False,False,,
