ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,False,,False,False,True,public.users.id,
3,device_id,character varying(255),True,,False,False,False,,
4,session_token,character varying(500),False,,False,False,False,,
5,refresh_token,character varying(500),True,,False,False,False,,
6,user_agent,text,True,,False,False,False,,
7,ip_address,inet,True,,False,False,False,,
8,device_type,character varying(50),True,,False,False,False,,
9,browser,character varying(100),True,,False,False,False,,
10,os,character varying(100),True,,False,False,False,,
11,country_code,character(2),True,,False,False,False,,
12,city,character varying(100),True,,False,False,False,,
13,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
14,last_activity_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
15,expires_at,timestamp with time zone,False,,False,False,False,,
16,revoked_at,timestamp with time zone,True,,False,False,False,,
17,revoked_by,uuid,True,,False,False,True,public.users.id,
18,revoke_reason,character varying(255),True,,False,False,False,,
