ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,role_id,uuid,True,,False,False,True,public.roles.id,
3,referral_link_id,uuid,True,,False,False,True,public.referral_links.id,
4,referrer_user_id,uuid,True,,False,False,True,public.users.id,
5,rm_user_id,uuid,True,,False,False,True,public.users.id,FK to assigned Relationship Manager user
6,username,character varying(50),False,,False,False,False,,
7,email,character varying(255),False,,False,False,False,,
8,password_hash,character varying(255),False,,False,False,False,,
9,status,character varying(50),False,'PENDING'::character varying,False,False,False,,
10,email_verified,boolean,False,false,False,False,False,,
11,email_verification_token,character varying(255),True,,False,False,False,,
12,email_verified_at,timestamp with time zone,True,,False,False,False,,
13,two_factor_enabled,boolean,False,false,False,False,False,,
14,two_factor_secret,character varying(255),True,,False,False,False,,
15,last_login_at,timestamp with time zone,True,,False,False,False,,
16,last_login_ip,character varying(25),True,,False,False,False,,
17,password_changed_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
18,failed_login_attempts,integer,False,0,False,False,False,,
19,locked_until,timestamp with time zone,True,,False,False,False,,
20,reset_password_token,character varying(255),True,,False,False,False,,
21,reset_password_expires,timestamp with time zone,True,,False,False,False,,
22,user_type,character varying(20),False,'CLIENT'::character varying,False,False,False,,
23,registration_ip,character varying(50),True,,False,False,False,,
24,registration_source,character varying(50),True,'DIRECT'::character varying,False,False,False,,
25,deactivated_at,timestamp with time zone,True,,False,False,False,,
26,deactivated_by,uuid,True,,False,False,True,public.users.id,
27,deactivation_reason,text,True,,False,False,False,,
28,ib_status,character varying(20),False,'TRADER'::character varying,False,False,False,,"IB role status: TRADER, IB, MIB, RM"
29,ib_upgraded_at,timestamp with time zone,True,,False,False,False,,
30,hierarchy_path,text,True,,False,False,False,,Materialized path from root to this user for tree queries
31,hierarchy_depth,integer,False,0,False,False,False,,Depth level in hierarchy tree (0 = no hierarchy)
32,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
33,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
34,created_by,uuid,True,,False,False,True,public.users.id,
35,updated_by,uuid,True,,False,False,True,public.users.id,
48,kyc_status,text,False,'PENDING'::text,False,False,False,,
49,kyc_reviewed_at,timestamp with time zone,True,,False,False,False,,
50,kyc_reviewed_by,uuid,True,,False,False,True,public.users.id,
51,kyc_rejection_reason,text,True,,False,False,False,,
52,ib_level,integer,False,0,False,False,False,,
53,ib_code,character varying(16),True,,False,True,False,,
54,cid_seq,integer,False,nextval('users_cid_seq_seq'::regclass),False,True,False,,
55,must_change_password,boolean,False,false,False,False,False,,
56,role_support_id,uuid,True,,False,False,True,public.roles.id,
