ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,True,,False,False,False,,
2,user_id,uuid,True,,False,False,False,,
3,trading_account_id,uuid,True,,False,False,False,,
4,trading_account_title,character varying(150),True,,False,False,False,,
5,trading_account_login,bigint,True,,False,False,False,,
6,platform,text,True,,False,False,False,,
7,ticket,bigint,True,,False,False,False,,
8,symbol,character varying(100),True,,False,False,False,,
9,direction,text,True,,False,False,False,,
10,lots,numeric,True,,False,False,False,,
11,open_price,"numeric(18,6)",True,,False,False,False,,
12,close_price,"numeric(18,6)",True,,False,False,False,,
13,stop_loss,"numeric(18,6)",True,,False,False,False,,
14,take_profit,"numeric(18,6)",True,,False,False,False,,
15,pnl,"numeric(18,2)",True,,False,False,False,,
16,swap,"numeric(18,2)",True,,False,False,False,,
17,commission,"numeric(18,2)",True,,False,False,False,,
18,fee,"numeric(18,2)",True,,False,False,False,,
19,net_pnl,numeric,True,,False,False,False,,
20,close_reason,character varying(50),True,,False,False,False,,
21,close_type,character varying(50),True,,False,False,False,,
22,open_time,timestamp with time zone,True,,False,False,False,,
23,close_time,timestamp with time zone,True,,False,False,False,,
24,duration_seconds,bigint,True,,False,False,False,,
25,open_deal_id,bigint,True,,False,False,False,,
26,close_deal_id,bigint,True,,False,False,False,,
27,price_digits,smallint,True,,False,False,False,,
28,currency_digits,smallint,True,,False,False,False,,
29,contract_size,integer,True,,False,False,False,,
30,comment,text,True,,False,False,False,,
