ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,True,,False,False,False,,
2,user_id,uuid,True,,False,False,False,,
3,trading_account_id,uuid,True,,False,False,False,,
4,trading_account_title,character varying(150),True,,False,False,False,,
5,trading_account_login,bigint,True,,False,False,False,,
6,platform,text,True,,False,False,False,,
7,ticket,bigint,True,,False,False,False,,
8,symbol,character varying(100),True,,False,False,False,,
9,direction,character varying(50),True,,False,False,False,,
10,lots,numeric,True,,False,False,False,,
11,open_price,"numeric(18,6)",True,,False,False,False,,
12,current_price,"numeric(18,6)",True,,False,False,False,,
13,stop_loss,"numeric(18,6)",True,,False,False,False,,
14,take_profit,"numeric(18,6)",True,,False,False,False,,
15,pnl,"numeric(18,2)",True,,False,False,False,,
16,swap,"numeric(18,2)",True,,False,False,False,,
17,open_reason,character varying(50),True,,False,False,False,,
18,open_time,timestamp with time zone,True,,False,False,False,,
19,update_time,timestamp with time zone,True,,False,False,False,,
20,price_digits,smallint,True,,False,False,False,,
21,currency_digits,smallint,True,,False,False,False,,
22,contract_size,integer,True,,False,False,False,,
23,comment,text,True,,False,False,False,,
