ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,transaction_id,uuid,True,,False,False,False,,
2,transaction_number,character varying,True,,False,False,False,,
3,type,character varying(50),True,,False,False,False,,
4,event_id,character varying(20),True,,False,False,False,,
5,status,character varying(30),True,,False,False,False,,
6,user_id,uuid,True,,False,False,False,,
7,amount_usd,"numeric(20,6)",True,,False,False,False,,
8,source_account_type,text,True,,False,False,False,,
9,source_account_display,text,True,,False,False,False,,
10,destination_account_type,text,True,,False,False,False,,
11,destination_account_display,text,True,,False,False,False,,
12,user_email,character varying(255),True,,False,False,False,,
13,user_full_name,text,True,,False,False,False,,
14,source_mt5_account_id,uuid,True,,False,False,False,,
15,destination_mt5_account_id,uuid,True,,False,False,False,,
16,source_wallet_id,uuid,True,,False,False,False,,
17,destination_wallet_id,uuid,True,,False,False,False,,
18,psp_provider,character varying(50),True,,False,False,False,,
19,psp_method,character varying(50),True,,False,False,False,,
20,payment_currency,character varying(10),True,,False,False,False,,
21,payment_amount,"numeric(20,6)",True,,False,False,False,,
22,psp_status,character varying(50),True,,False,False,False,,
23,rejection_reason,text,True,,False,False,False,,
24,created_at,timestamp with time zone,True,,False,False,False,,
25,completed_at,timestamp with time zone,True,,False,False,False,,
26,expires_at,timestamp with time zone,True,,False,False,False,,
