ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,settlement_id,uuid,True,,False,False,True,public.rebate_settlements.id,
3,user_id,uuid,False,,False,False,False,,
4,wallet_id,uuid,False,,False,False,False,,
5,deal_id,bigint,False,,False,False,False,,
6,executor_user_id,uuid,False,,False,False,False,,
7,mt5_account_id,uuid,True,,False,False,False,,
8,symbol,character varying(50),False,,False,False,False,,
9,lots,"numeric(20,6)",False,,False,False,False,,
10,amount,"numeric(20,6)",False,,False,False,False,,
11,rebate_line_id,uuid,True,,False,False,False,,
12,rebate_scheme_id,uuid,True,,False,False,False,,
13,level_order,integer,True,,False,False,False,,
14,level_label,character varying(50),True,,False,False,False,,
15,rate_value,"numeric(20,6)",True,,False,False,False,,
16,calculation_type,character varying(50),True,,False,False,False,,
17,platform,character varying(20),False,'MT5'::character varying,False,False,False,,
18,trade_reference,character varying(64),False,,False,False,False,,
19,status,character varying(20),False,'PENDING'::character varying,False,False,False,,
20,created_at,timestamp with time zone,False,now(),False,False,False,,
