ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,platform,character varying(20),False,'MT5'::character varying,False,False,False,,
3,mt5_account_id,uuid,True,,False,False,False,,
4,trade_reference,character varying(64),False,,False,False,False,,
5,executor_user_id,uuid,False,,False,False,False,,
6,beneficiary_user_id,uuid,False,,False,False,False,,
7,beneficiary_wallet_id,uuid,False,,False,False,False,,
8,deal_id,bigint,False,,False,False,False,,
9,position_id,bigint,True,,False,False,False,,
10,symbol,character varying(50),False,,False,False,False,,
11,lots,"numeric(20,6)",False,,False,False,False,,
12,amount,"numeric(20,6)",False,,False,False,False,,
13,rebate_line_id,uuid,True,,False,False,False,,
14,rebate_scheme_id,uuid,True,,False,False,False,,
15,level_order,integer,True,,False,False,False,,
16,level_label,character varying(50),True,,False,False,False,,
17,rate_value,"numeric(20,6)",True,,False,False,False,,
18,calculation_type,character varying(50),True,,False,False,False,,
19,created_at,timestamp with time zone,False,now(),False,False,False,,
20,created_by,uuid,True,,False,False,False,,
