ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,transaction_id,uuid,False,,True,False,False,,
2,psp_request_id,character varying(100),False,,False,True,False,,
3,psp_provider,character varying(50),False,,False,False,False,,
4,payment_currency,character varying(10),False,,False,False,False,,
5,payment_amount,"numeric(20,6)",False,,False,False,False,,
6,bot_rate,"numeric(20,6)",False,,False,False,False,,
7,broker_markup,"numeric(20,6)",False,,False,False,False,,
8,psp_fee_rate,"numeric(20,8)",False,,False,False,False,,
9,offer_rate,"numeric(20,6)",False,,False,False,False,,
10,psp_status,character varying(50),False,'PENDING'::character varying,False,False,False,,
11,psp_callback_at,timestamp with time zone,True,,False,False,False,,
12,psp_callback_payload,jsonb,True,,False,False,False,,
13,rejection_reason,text,True,,False,False,False,,
14,rejection_code,character varying(50),True,,False,False,False,,
15,psp_method,character varying(50),True,,False,False,False,,"Deposit method (e.g. THAI_QR, CREDIT_CARD)."
16,psp_request_payload,jsonb,True,,False,False,False,,
17,psp_response_payload,jsonb,True,,False,False,False,,
18,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
19,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
