ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,transaction_id,character varying(100),False,,False,False,False,,
3,wallet_id,uuid,False,,False,False,False,,
4,reference_id,character varying(100),True,,False,False,False,,
5,counterpart_wallet_id,uuid,True,,False,False,False,,
6,transaction_type,character varying(50),False,,False,False,False,,
7,amount,"numeric(20,6)",False,,False,False,False,,
8,reference_type,character varying(50),True,,False,False,False,,
9,remark,text,True,,False,False,False,,
10,event_id,character varying(20),False,,False,False,False,,
11,event_type,character varying(50),False,,False,False,False,,
12,user_id,uuid,False,,False,False,False,,
13,wallet_type,character varying(20),False,,False,False,False,,
14,status,character varying(30),False,'PENDING'::character varying,False,False,False,,
15,counterpart_mt5_account_id,uuid,True,,False,False,False,,
16,psp_detail_id,uuid,True,,False,False,False,,
17,description,text,True,,False,False,False,,
18,internal_notes,text,True,,False,False,False,,
19,approved_by,uuid,True,,False,False,False,,
20,approval_required,boolean,True,false,False,False,False,,
21,completed_at,timestamp with time zone,True,,False,False,False,,
22,expires_at,timestamp with time zone,True,,False,False,False,,
23,deactivated_at,timestamp with time zone,True,,False,False,False,,
24,updated_by,character varying(50),True,,False,False,False,,
25,created_by,uuid,True,,False,False,False,,
26,created_at,timestamp with time zone,False,now(),False,False,False,,
27,updated_at,timestamp with time zone,True,CURRENT_TIMESTAMP,False,False,False,,
