ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,position_id,bigint,False,,False,True,False,,
3,login,bigint,False,,False,False,False,,
4,user_id,uuid,True,,False,False,False,,
5,account_id,uuid,True,,False,False,False,,
6,symbol,character varying(100),True,,False,False,False,,
7,action,character varying(50),True,,False,False,False,,
8,digits,smallint,True,,False,False,False,,
9,digits_currency,smallint,True,,False,False,False,,
10,contract_size,integer,True,,False,False,False,,
11,open_deal,bigint,True,,False,False,False,,
12,open_price,"numeric(18,6)",True,,False,False,False,,
13,open_time,bigint,True,,False,False,False,,
14,open_time_msc,bigint,True,,False,False,False,,
15,close_price,"numeric(18,6)",True,,False,False,False,,
16,close_time,bigint,True,,False,False,False,,
17,close_time_msc,bigint,True,,False,False,False,,
18,volume,integer,True,,False,False,False,,
19,volume_ext,bigint,True,,False,False,False,,
20,lots,"numeric(18,4)",True,,False,False,False,,
21,is_cent,boolean,False,false,False,False,False,,
22,profit,"numeric(18,2)",True,,False,False,False,,
23,swap,"numeric(18,2)",True,,False,False,False,,
24,commission,"numeric(18,2)",True,,False,False,False,,
25,fee,"numeric(18,2)",True,,False,False,False,,
26,net_profit,"numeric(18,2)",True,,False,False,False,,
27,price_sl,"numeric(18,6)",True,,False,False,False,,
28,price_tp,"numeric(18,6)",True,,False,False,False,,
29,reason,character varying(50),True,,False,False,False,,
30,expert_id,bigint,True,,False,False,False,,
31,deal_count,integer,True,,False,False,False,,
32,comment,text,True,,False,False,False,,
33,created_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
34,updated_at,timestamp with time zone,False,CURRENT_TIMESTAMP,False,False,False,,
