ordinal,column_name,data_type,is_nullable,default,is_primary_key,is_unique,is_foreign_key,fk_reference,comment
1,id,uuid,False,gen_random_uuid(),True,False,False,,
2,user_id,uuid,True,,False,False,False,,
3,account_id,uuid,True,,False,False,False,,
4,deal,"numeric(20,0)",False,0,False,True,False,,
5,timestamp,bigint,False,0,False,False,False,,
6,external_id,character varying(32),False,''::character varying,False,False,False,,
7,login,"numeric(20,0)",False,0,False,False,False,,
8,dealer,"numeric(20,0)",False,0,False,False,False,,
9,order,"numeric(20,0)",False,0,False,False,False,,
10,action,character varying(50),False,''::character varying,False,False,False,,
11,entry,character varying(50),False,''::character varying,False,False,False,,
12,reason,character varying(50),False,''::character varying,False,False,False,,
13,digits,"numeric(11,0)",False,0,False,False,False,,
14,digits_currency,"numeric(11,0)",False,0,False,False,False,,
15,contract_size,"numeric(18,8)",False,0,False,False,False,,
16,time,timestamp(0) without time zone,False,now(),False,False,False,,
17,time_msc,timestamp without time zone,False,now(),False,False,False,,
18,symbol,character varying(32),False,''::character varying,False,False,False,,
19,price,"numeric(18,6)",False,0,False,False,False,,
20,lots,"numeric(18,4)",False,0,False,False,False,,
21,is_cent,boolean,False,false,False,False,False,,
22,volume_ext,"numeric(20,0)",False,0,False,False,False,,
23,profit,"numeric(18,2)",False,0,False,False,False,,
24,swap,"numeric(18,2)",False,0,False,False,False,,
25,commission,"numeric(18,2)",False,0,False,False,False,,
26,fee,"numeric(18,2)",False,0,False,False,False,,
27,rate_profit,"numeric(18,8)",False,0,False,False,False,,
28,rate_margin,"numeric(18,8)",False,0,False,False,False,,
29,expert_id,"numeric(20,0)",False,0,False,False,False,,
30,position_id,"numeric(20,0)",False,0,False,False,False,,
31,party_id,"numeric(20,0)",False,0,False,False,False,,
32,comment,character varying(32),False,''::character varying,False,False,False,,
33,profit_raw,"numeric(18,2)",False,0,False,False,False,,
34,price_position,"numeric(18,6)",False,0,False,False,False,,
35,price_sl,"numeric(18,6)",False,0,False,False,False,,
36,price_tp,"numeric(18,6)",False,0,False,False,False,,
37,volume_closed_ext,"numeric(20,0)",False,0,False,False,False,,
38,tick_value,"numeric(18,8)",False,0,False,False,False,,
39,tick_size,"numeric(18,8)",False,0,False,False,False,,
40,flags,"numeric(11,0)",False,0,False,False,False,,
41,value,"numeric(18,8)",False,0,False,False,False,,
42,gateway,character varying(16),False,''::character varying,False,False,False,,
43,price_gateway,"numeric(18,6)",False,0,False,False,False,,
44,volume_gateway_ext,"numeric(20,0)",False,0,False,False,False,,
45,action_gateway,"numeric(11,0)",False,0,False,False,False,,
46,modify_flags,character varying(50),False,''::character varying,False,False,False,,
47,market_bid,"numeric(18,6)",False,0,False,False,False,,
48,market_ask,"numeric(18,6)",False,0,False,False,False,,
49,market_last,"numeric(18,6)",False,0,False,False,False,,
50,volume,"numeric(20,0)",False,0,False,False,False,,
51,volume_closed,"numeric(20,0)",False,0,False,False,False,,
52,api_data,character varying(4000),False,''::character varying,False,False,False,,
